timestamp_s,cpu_percent,working_set_gb,private_gb,gpu_util_percent,gpu_mem_used_mb
104.510,72.818,40.796,7.450,39,6882
104.870,73.447,40.796,7.450,39,6882
105.229,73.516,40.796,7.450,35,6882
105.591,73.877,40.796,7.450,34,6877
105.953,73.687,40.796,7.450,36,6876
106.314,70.393,40.796,7.450,36,6882
106.678,72.904,40.796,7.450,36,6882
107.041,72.014,40.796,7.450,35,6882
107.403,72.540,40.796,7.450,35,6882
107.763,70.291,40.796,7.450,39,6885
108.126,72.813,40.796,7.450,34,6883
108.487,74.006,40.796,7.450,35,6883
108.849,73.476,40.796,7.450,35,6883
109.213,72.607,40.796,7.450,37,6883
109.573,73.379,40.796,7.450,35,6883
109.932,73.801,40.796,7.450,36,6883
110.291,72.329,40.796,7.450,36,6883
110.651,74.104,40.796,7.450,34,6864
111.012,72.743,40.796,7.450,36,6863
111.372,73.706,40.796,7.450,36,6864
111.735,73.716,40.796,7.450,35,6864
112.092,73.214,40.796,7.450,36,6864
112.453,73.855,40.796,7.450,35,6864
112.812,72.635,40.796,7.450,35,6882
113.167,74.744,40.796,7.450,41,6882
113.525,74.455,40.796,7.450,34,6882
113.884,73.608,40.796,7.450,34,6903
114.241,73.921,40.796,7.450,40,6966
114.602,73.621,40.796,7.450,34,6961
114.962,73.205,40.796,7.450,34,6961
115.321,74.860,40.796,7.450,34,6961
115.686,73.067,40.796,7.450,34,6866
116.047,73.804,40.796,7.450,36,6866
116.407,73.679,40.796,7.450,36,6921
116.770,75.402,40.796,7.450,35,6957
117.128,73.493,40.796,7.450,36,6957
117.487,70.566,40.796,7.450,34,6957
117.864,72.415,40.796,7.450,34,6930
118.223,73.365,40.796,7.450,35,6954
118.584,69.618,40.796,7.450,32,6947
118.945,73.237,40.796,7.450,35,6947
119.307,73.238,40.796,7.450,35,6947
119.655,71.943,40.796,7.450,35,6919
120.027,74.926,40.796,7.450,35,6919
120.388,73.176,40.796,7.450,35,6919
120.746,74.666,40.796,7.450,35,6933
121.106,73.850,40.796,7.450,43,6966
121.467,73.976,40.796,7.450,35,6966
121.827,73.689,40.796,7.450,35,6966
122.181,75.048,40.796,7.450,34,6966
122.539,74.463,40.796,7.450,35,6966
122.893,74.713,40.796,7.450,35,6942
123.248,72.928,40.796,7.450,35,6942
123.607,74.118,40.796,7.450,34,6958
123.968,73.409,40.796,7.450,35,6959
124.329,73.890,40.796,7.450,35,6959
124.676,76.661,40.796,7.450,33,6959
125.038,73.921,40.796,7.450,39,6967
125.400,73.790,40.796,7.450,39,6973
125.765,72.987,40.796,7.450,39,6973
126.126,73.253,40.796,7.450,30,6973
126.490,74.580,40.796,7.450,35,6973
126.853,73.839,40.796,7.450,35,6944
127.212,74.316,40.796,7.450,35,6945
127.577,72.873,40.796,7.450,36,6964
127.938,73.193,40.796,7.450,36,6965
128.301,75.443,40.796,7.450,36,6965
128.664,72.902,40.796,7.450,35,6965
129.028,71.384,40.796,7.450,35,6965
