graph_id,node_index,op,fused_nodes,worker_us,barrier_us,name,src0,src1
1,120,UNARY,0,0,1,"ple_gate-1","node_190",""
1,121,MUL,0,2,2,"ple_gated_value-1","node_154","ple_gate-1"
1,124,RMS_NORM,0,2,2,"node_195","ple_gated_value-1 (reshaped) (reshaped)",""
1,126,MUL,0,5,1,"node_197"," (reshaped)","blk.1.ple_norm_conv.weight"
1,131,CONCAT,0,109,1,"node_202","conv_state_at-1"," (reshaped) (reshaped) (reshaped) (transposed)"
1,133,CONT,0,1,16," (view) (cont)"," (view)",""
1,135,CPY,0,1,5,"cache_ple_r_l1 (view) (copy of  (view) (cont))"," (view) (cont)","cache_ple_r_l1 (view)"
1,138,CONT,0,10,5,"node_202 (view) (transposed) (cont)","node_202 (view) (transposed)",""
1,140,CONT,0,2,3,"blk.1.ple_conv1d.weight (view) (cont)","blk.1.ple_conv1d.weight (view)",""
1,142,MUL,0,3,0,"node_213","node_202 (view) (transposed) (cont)","blk.1.ple_conv1d.weight (view) (cont) (reshaped)"
1,145,CONT,0,9,0,"node_202 (view) (transposed) (cont)","node_202 (view) (transposed)",""
1,147,CONT,0,0,3,"blk.1.ple_conv1d.weight (view) (cont)","blk.1.ple_conv1d.weight (view)",""
1,149,MUL,0,4,0,"node_220","node_202 (view) (transposed) (cont)","blk.1.ple_conv1d.weight (view) (cont) (reshaped)"
1,150,ADD,0,4,0,"node_221","node_213","node_220"
1,153,CONT,0,8,0,"node_202 (view) (transposed) (cont)","node_202 (view) (transposed)",""
1,155,CONT,0,0,3,"blk.1.ple_conv1d.weight (view) (cont)","blk.1.ple_conv1d.weight (view)",""
1,157,MUL,0,5,0,"node_228","node_202 (view) (transposed) (cont)","blk.1.ple_conv1d.weight (view) (cont) (reshaped)"
1,158,ADD,0,4,0,"node_229","node_221","node_228"
1,161,CONT,0,8,0,"node_202 (view) (transposed) (cont)","node_202 (view) (transposed)",""
1,163,CONT,0,1,4,"blk.1.ple_conv1d.weight (view) (cont)","blk.1.ple_conv1d.weight (view)",""
1,165,MUL,0,5,0,"node_236","node_202 (view) (transposed) (cont)","blk.1.ple_conv1d.weight (view) (cont) (reshaped)"
1,166,ADD,0,3,0,"node_237","node_229","node_236"
1,167,UNARY,0,3,0,"node_238","node_237",""
1,168,CONT,0,1,4," (cont)","node_238",""
1,170,ADD,0,1,2,"node_241","ple_gated_value-1","ple_conv_out-1"
1,171,ADD,0,1,1,"node_242","l_last-0","node_241"
1,172,RMS_NORM,0,2,1,"node_243","node_242",""
1,174,MUL,0,6,1,"hc_norm-1"," (reshaped)","blk.1.hc_attn_norm.weight"
1,175,MUL_MAT,0,41,45,"node_246","blk.1.hc_attn_down.weight","hc_norm-1"
1,176,SCALE,0,0,4,"node_247","node_246",""
1,177,UNARY,0,0,2,"node_248","node_247",""
1,178,MUL_MAT,0,67,6,"node_249","blk.1.hc_attn_up.weight","node_248"
1,179,UNARY,0,23,0,"hc_gate-1","node_249",""
1,180,MUL,0,4,0,"node_251","hc_norm-1","hc_gate-1"
1,183,CONT,0,0,3," (reshaped) (view) (cont)"," (reshaped) (view)",""
1,185,ADD,0,1,2,"node_256"," (reshaped) (view) (cont)"," (reshaped) (view)"
1,187,ADD,0,1,1,"node_258","node_256"," (reshaped) (view)"
1,189,ADD,0,1,2,"node_260","node_258"," (reshaped) (view)"
1,190,SCALE,0,0,2,"hc_mixed-1","node_260",""
1,193,SCALE,0,0,2,"cache_r_l1 (reshaped) (view) (view)","cache_r_l1 (reshaped) (view)",""
1,194,GET_ROWS,0,9,0,"node_265","cache_r_l1 (reshaped)"," (view)"
1,195,GET_ROWS,0,0,2,"node_266","cache_r_l1 (reshaped)"," (view)"
1,197,CPY,0,0,11,"cache_r_l1 (view) (copy of )","node_266","cache_r_l1 (view)"
1,199,MUL_MAT,0,480,46,"node_270","blk.1.attn_qkv.weight","hc_mixed-1"
1,202,CONCAT,0,67,0,"node_273","conv_state_at-1","linear_attn_qkv_mixed-1 (transposed)"
1,204,CONT,0,1,6," (view) (cont)"," (view)",""
1,206,CPY,0,1,3,"cache_r_l1 (view) (copy of  (view) (cont))"," (view) (cont)","cache_r_l1 (view)"
1,209,SCALE,0,0,2,"cache_s_l1 (reshaped) (view) (view)","cache_s_l1 (reshaped) (view)",""
1,210,GET_ROWS,0,264,1,"node_281","cache_s_l1 (reshaped)"," (view)"
1,211,GET_ROWS,0,0,82,"node_282","cache_s_l1 (reshaped)"," (view)"
1,213,CPY,0,0,2,"cache_s_l1 (view) (copy of )","node_282","cache_s_l1 (view)"
1,214,SSM_CONV,0,2,3,"conv_output_raw-1","node_273","blk.1.ssm_conv1d.weight"
1,215,UNARY,0,3,0,"conv_output_silu-1","conv_output_raw-1",""
1,217,L2_NORM,0,0,2,"q_conv_predelta-1","q_conv-1",""
1,219,L2_NORM,0,0,3,"k_conv_predelta-1","k_conv-1",""
1,221,MUL_MAT,0,9,2,"node_292","blk.1.ssm_alpha.weight","hc_mixed-1"
1,223,ADD,0,0,10,"node_294","alpha-1","blk.1.ssm_dt.bias"
1,224,UNARY,0,1,2,"a_softplus-1","node_294",""
1,225,MUL,0,0,10,"gate-1","a_softplus-1","blk.1.ssm_a"
1,227,MUL_MAT,0,9,4,"node_298","blk.1.ssm_beta.weight","hc_mixed-1"
1,229,UNARY,0,0,3,"beta_sigmoid-1","beta-1",""
1,231,GATED_DELTA_NET,0,74,20,"node_302","q_conv_predelta-1","k_conv_predelta-1"
1,234,CPY,0,14,20,"cache_s_l1 (view) (copy of new_state-1)","new_state-1","cache_s_l1 (view)"
1,236,RMS_NORM,0,0,2,"norm-1","attn_output-1",""
2,0,MUL_MAT,0,296,4,"z-1","blk.1.attn_gate.weight","hc_mixed-1"
2,2,UNARY,0,1,2,"node_311","z-1 (reshaped)",""
2,3,MUL,0,1,0,"node_312","CPU#node_308#0","node_311"
2,5,MUL_MAT,0,266,57,"linear_attn_out-1","blk.1.ssm_out.weight","final_output-1"
2,8,REPEAT,0,2,1,"node_317","linear_attn_out-1 (reshaped) (reshaped)",""
2,9,MUL_MAT,0,15,6,"hc_inject-1","blk.1.hc_attn_inject.weight","hc_norm-1"
2,10,SCALE,0,0,2,"node_319","hc_inject-1",""
2,11,UNARY,0,0,6,"node_320","node_319",""
2,12,SCALE,0,0,2,"node_321","node_320",""
2,14,MUL,0,3,2,"node_323","node_317"," (reshaped)"
2,15,ADD,0,1,2,"hc_combine-1","node_242","node_323"
2,16,RMS_NORM,0,1,2,"node_325","hc_combine-1",""
2,18,MUL,0,6,0,"hc_norm-1"," (reshaped)","blk.1.hc_ffn_norm.weight"
2,19,MUL_MAT,0,50,27,"node_328","blk.1.hc_ffn_down.weight","hc_norm-1"
2,20,SCALE,0,1,2,"node_329","node_328",""
