sample,host_total_ms,stage,start_ms,end_ms,duration_ms
6,1.278584,cpu_return_merge,1.0723199844360352,1.1489280462265015,0.07660806179046631
7,1.143211,activation_d2h,0.0,0.0578560009598732,0.0578560009598732
7,1.143211,cpu,0.427386,0.872535,0.44514899999999996
7,1.143211,gpu_resident,0.0,0.48844799399375916,0.48844799399375916
7,1.143211,gpu_h2d,0.0,0.42665600776672363,0.42665600776672363
7,1.143211,gpu_dequant,0.42665600776672363,0.5038080215454102,0.07715201377868652
7,1.143211,gpu_promoted,0.5038080215454102,0.6307839751243591,0.12697595357894897
7,1.143211,cpu_return_merge,0.9011199772357941,0.9738240242004395,0.07270404696464539
8,0.977564,activation_d2h,0.0,0.03494400158524513,0.03494400158524513
8,0.977564,cpu,0.396531,0.786953,0.390422
8,0.977564,gpu_resident,0.0,0.4833280146121979,0.4833280146121979
8,0.977564,gpu_h2d,0.0,0.37436801195144653,0.37436801195144653
8,0.977564,gpu_dequant,0.37436801195144653,0.45977601408958435,0.08540800213813782
8,0.977564,gpu_promoted,0.4833280146121979,0.5713919997215271,0.08806398510932922
8,0.977564,cpu_return_merge,0.7987200021743774,0.8350080251693726,0.03628802299499512
9,1.279365,activation_d2h,0.0,0.025728000327944756,0.025728000327944756
9,1.279365,cpu,0.436974,0.94123,0.504256
9,1.279365,gpu_resident,0.0,0.766975998878479,0.766975998878479
9,1.279365,gpu_h2d,0.0,0.37350401282310486,0.37350401282310486
9,1.279365,gpu_dequant,0.37350401282310486,0.5160959959030151,0.14259198307991028
9,1.279365,gpu_promoted,0.766975998878479,0.8407040238380432,0.07372802495956421
9,1.279365,cpu_return_merge,0.9809920191764832,1.0393600463867188,0.058368027210235596
10,1.195489,activation_d2h,0.0,0.026464000344276428,0.026464000344276428
10,1.195489,cpu,0.426433,1.009423,0.5829899999999999
10,1.195489,gpu_resident,0.0,0.3317759931087494,0.3317759931087494
10,1.195489,gpu_h2d,0.0,0.3598720133304596,0.3598720133304596
10,1.195489,gpu_dequant,0.3598720133304596,0.44543999433517456,0.08556798100471497
10,1.195489,gpu_promoted,0.44543999433517456,0.5212159752845764,0.07577598094940186
