graph_id,node_index,op,fused_nodes,worker_us,barrier_us,graph_elapsed_us,name,src0,src1
24,66,SCALE,0,0,2,849,"ffn_moe_inp-23","node_3928",""
24,102,ADD,0,1,0,2061,"ffn_moe_out-23","node_3964","ffn_moe_weighted-23 (view)"
24,106,MUL_MAT,0,28,9,2173,"ffn_shexp-23","blk.23.ffn_down_shexp.weight","ffn_swiglu-23"
24,109,MUL,0,2,0,2180,"ffn_shexp_gated-23","ffn_shexp-23","shared_expert_gate_sigmoid-23"
24,110,ADD,0,1,0,2182,"ffn_out-23","ffn_moe_out-23","ffn_shexp_gated-23"
24,184,RMS_NORM,0,1,7,3515,"norm-24","attn_output-24",""
25,5,MUL_MAT,0,278,62,681,"linear_attn_out-24","blk.24.ssm_out.weight","final_output-24"
25,34,SCALE,0,0,2,938,"ffn_moe_inp-24","node_4082",""
25,70,ADD,0,1,0,1745,"ffn_moe_out-24","node_4118","ffn_moe_weighted-24 (view)"
25,74,MUL_MAT,0,30,6,1875,"ffn_shexp-24","blk.24.ffn_down_shexp.weight","ffn_swiglu-24"
25,77,MUL,0,2,0,1899,"ffn_shexp_gated-24","ffn_shexp-24","shared_expert_gate_sigmoid-24"
25,78,ADD,0,1,0,1901,"ffn_out-24","ffn_moe_out-24","ffn_shexp_gated-24"
25,152,RMS_NORM,0,0,3,3277,"norm-25","attn_output-25",""
26,5,MUL_MAT,0,298,46,683,"linear_attn_out-25","blk.25.ssm_out.weight","final_output-25"
26,34,SCALE,0,0,0,918,"ffn_moe_inp-25","node_4236",""
26,70,ADD,0,2,0,1726,"ffn_moe_out-25","node_4272","ffn_moe_weighted-25 (view)"
26,74,MUL_MAT,0,28,10,1845,"ffn_shexp-25","blk.25.ffn_down_shexp.weight","ffn_swiglu-25"
26,77,MUL,0,2,0,1852,"ffn_shexp_gated-25","ffn_shexp-25","shared_expert_gate_sigmoid-25"
26,78,ADD,0,2,0,1854,"ffn_out-25","ffn_moe_out-25","ffn_shexp_gated-25"
26,152,RMS_NORM,0,0,7,3276,"norm-26","attn_output-26",""
27,5,MUL_MAT,0,256,70,658,"linear_attn_out-26","blk.26.ssm_out.weight","final_output-26"
27,34,SCALE,0,0,1,887,"ffn_moe_inp-26","node_4390",""
27,70,ADD,0,1,1,1756,"ffn_moe_out-26","node_4426","ffn_moe_weighted-26 (view)"
27,74,MUL_MAT,0,30,7,1871,"ffn_shexp-26","blk.26.ffn_down_shexp.weight","ffn_swiglu-26"
