graph_id,node_index,op,fused_nodes,worker_us,barrier_us,graph_elapsed_us,name,src0,src1
124,3,MUL_MAT_ID,0,101,326,1381,"ffn_moe_down-22","blk.22.ffn_down_exps.weight","ffn_moe_swiglu-22"
125,3,MUL_MAT_ID,0,98,123,634,"ffn_moe_down-23","blk.23.ffn_down_exps.weight","ffn_moe_swiglu-23"
126,3,MUL_MAT_ID,0,102,130,650,"ffn_moe_down-24","blk.24.ffn_down_exps.weight","ffn_moe_swiglu-24"
127,3,MUL_MAT_ID,0,256,105,1012,"ffn_moe_down-25","blk.25.ffn_down_exps.weight","ffn_moe_swiglu-25"
128,3,MUL_MAT_ID,0,139,83,589,"ffn_moe_down-26","blk.26.ffn_down_exps.weight","ffn_moe_swiglu-26"
129,3,MUL_MAT_ID,0,141,79,596,"ffn_moe_down-27","blk.27.ffn_down_exps.weight","ffn_moe_swiglu-27"
130,3,MUL_MAT_ID,0,139,95,630,"ffn_moe_down-28","blk.28.ffn_down_exps.weight","ffn_moe_swiglu-28"
131,3,MUL_MAT_ID,0,131,90,601,"ffn_moe_down-29","blk.29.ffn_down_exps.weight","ffn_moe_swiglu-29"
132,3,MUL_MAT_ID,0,291,34,735,"ffn_moe_down-30","blk.30.ffn_down_exps.weight","ffn_moe_swiglu-30"
133,3,MUL_MAT_ID,0,144,79,599,"ffn_moe_down-31","blk.31.ffn_down_exps.weight","ffn_moe_swiglu-31"
134,3,MUL_MAT_ID,0,139,80,601,"ffn_moe_down-32","blk.32.ffn_down_exps.weight","ffn_moe_swiglu-32"
135,3,MUL_MAT_ID,0,133,90,589,"ffn_moe_down-33","blk.33.ffn_down_exps.weight","ffn_moe_swiglu-33"
136,3,MUL_MAT_ID,0,322,146,1300,"ffn_moe_down-34","blk.34.ffn_down_exps.weight","ffn_moe_swiglu-34"
137,3,MUL_MAT_ID,0,313,166,1254,"ffn_moe_down-35","blk.35.ffn_down_exps.weight","ffn_moe_swiglu-35"
138,3,MUL_MAT_ID,0,188,21,580,"ffn_moe_down-36","blk.36.ffn_down_exps.weight","ffn_moe_swiglu-36"
139,3,MUL_MAT_ID,0,181,190,996,"ffn_moe_down-37","blk.37.ffn_down_exps.weight","ffn_moe_swiglu-37"
140,3,MUL_MAT_ID,0,141,91,663,"ffn_moe_down-38","blk.38.ffn_down_exps.weight","ffn_moe_swiglu-38"
141,3,MUL_MAT_ID,0,91,119,583,"ffn_moe_down-39","blk.39.ffn_down_exps.weight","ffn_moe_swiglu-39"
142,3,MUL_MAT_ID,0,147,207,994,"ffn_moe_down-40","blk.40.ffn_down_exps.weight","ffn_moe_swiglu-40"
143,3,MUL_MAT_ID,0,91,117,591,"ffn_moe_down-41","blk.41.ffn_down_exps.weight","ffn_moe_swiglu-41"
144,3,MUL_MAT_ID,0,208,4,615,"ffn_moe_down-42","blk.42.ffn_down_exps.weight","ffn_moe_swiglu-42"
145,3,MUL_MAT_ID,0,223,5,645,"ffn_moe_down-43","blk.43.ffn_down_exps.weight","ffn_moe_swiglu-43"
146,3,MUL_MAT_ID,0,111,105,619,"ffn_moe_down-44","blk.44.ffn_down_exps.weight","ffn_moe_swiglu-44"
147,3,MUL_MAT_ID,0,114,105,592,"ffn_moe_down-45","blk.45.ffn_down_exps.weight","ffn_moe_swiglu-45"
148,3,MUL_MAT_ID,0,193,125,695,"ffn_moe_down-46","blk.46.ffn_down_exps.weight","ffn_moe_swiglu-46"
149,3,MUL_MAT_ID,0,246,91,726,"ffn_moe_down-47","blk.47.ffn_down_exps.weight","ffn_moe_swiglu-47"
150,0,GET_ROWS,0,18,0,18,"model.input_embed","token_embd.weight","inp_tokens"
151,3,MUL_MAT_ID,0,256,188,1170,"ffn_moe_down-0","blk.0.ffn_down_exps.weight","ffn_moe_swiglu-0"
