evidence_source,record_type,context_label,n_ctx,prompt_or_state_tokens,mode,run_purpose,kv_profile,cache_type_k,cache_type_v,expert_pool_gib,n_batch,n_ubatch,cuda_model_buffer_mib,cuda_kv_buffer_mib,cuda_recurrent_state_mib,cuda_kv_and_recurrent_mib,cuda_compute_buffer_mib,cuda_host_compute_buffer_mib,resource_samples,baseline_gpu_mem_used_mib,peak_gpu_mem_used_mib,peak_incremental_gpu_mem_mib,gpu_mem_total_mib,min_gpu_headroom_mib,peak_working_set_gib,peak_cpu_percent,peak_gpu_util_percent,source_path,resource_path,stderr_path
Measured,roundtrip_allocation,128k,131072,130027,roundtrip,kv-roundtrip/q8-q4,q8-q4,q8_0,q4_0,,4096,4096,4459.62,1668.01,112.57,1780.58,7486.56,1618.2,,,,,,,,,,128k/kv-roundtrip/q8-q4/roundtrip.json,,128k/kv-roundtrip/q8-q4/roundtrip.stderr.log
Measured,capacity_probe_allocation,192k,196608,2,cold-only,capacity-probes/q4-q4-b3072,q4-q4,q4_0,q4_0,,3072,3072,4459.62,1782.01,112.57,1894.58,7939.42,1790.84,,,,,,,,,,192k/capacity-probes/q4-q4-b3072/probe.json,,192k/capacity-probes/q4-q4-b3072/probe.stderr.log
Measured,capacity_probe_allocation,192k,196608,2,cold-only,capacity-probes/q4-q4-u1,q4-q4,q4_0,q4_0,,1,1,4459.62,1782.01,112.57,1894.58,147.38,3.27,,,,,,,,,,192k/capacity-probes/q4-q4-u1/probe.json,,192k/capacity-probes/q4-q4-u1/probe.stderr.log
Measured,resource_sample,192k,196608,195563,roundtrip,kv-roundtrip/q4-q4,q4-q4,q4_0,q4_0,,3072,3072,4459.62,1782.01,112.57,1894.58,7939.42,1790.84,429,487.0,15119.0,14632.0,16376.0,1257.0,56.91,,100.0,192k/kv-roundtrip/q4-q4/roundtrip.json,192k/kv-roundtrip/q4-q4/resources.csv,192k/kv-roundtrip/q4-q4/roundtrip.stderr.log
Measured,resource_sample,192k,196608,195563,hybrid-fixed-cache,vram-adaptive-u16,q4-q4,q4_0,q4_0,8,2048,16,13008.91,1782.01,112.57,1894.58,412.72,14.56,78,204.0,15751.0,15547.0,16376.0,625.0,16.293,76.41,97.0,192k/vram-adaptive-u16/q4-q4-pool8g-run-1.json,192k/vram-adaptive-u16/q4-q4-pool8g-run-1.resources.csv,192k/vram-adaptive-u16/q4-q4-pool8g-run-1.stderr.log
Measured,roundtrip_allocation,192k,196608,195563,roundtrip,kv-roundtrip/q4-q4,q4-q4,q4_0,q4_0,,3072,3072,4459.62,1782.01,112.57,1894.58,7939.42,1790.84,,,,,,,,,,192k/kv-roundtrip/q4-q4/roundtrip.json,,192k/kv-roundtrip/q4-q4/roundtrip.stderr.log
Measured,capacity_probe_allocation,192k,196608,2,cold-only,capacity-probes/q8-q4-b2048,q8-q4,q8_0,q4_0,,2048,2048,4459.62,2502.01,112.57,2614.5800000000004,5576.28,1194.73,,,,,,,,,,192k/capacity-probes/q8-q4-b2048/probe.json,,192k/capacity-probes/q8-q4-b2048/probe.stderr.log
Measured,capacity_probe_allocation,192k,196608,2,cold-only,capacity-probes/q8-q4-b2560,q8-q4,q8_0,q4_0,,2560,2560,4459.62,2502.01,112.57,2614.5800000000004,6757.85,1492.79,,,,,,,,,,192k/capacity-probes/q8-q4-b2560/probe.json,,192k/capacity-probes/q8-q4-b2560/probe.stderr.log
Measured,capacity_probe_allocation,192k,196608,2,cold-only,capacity-probes/q8-q4-u1,q8-q4,q8_0,q4_0,,1,1,4459.62,2502.01,112.57,2614.5800000000004,147.38,3.27,,,,,,,,,,192k/capacity-probes/q8-q4-u1/probe.json,,192k/capacity-probes/q8-q4-u1/probe.stderr.log
Measured,resource_sample,192k,196608,195563,roundtrip,kv-roundtrip/q8-q4,q8-q4,q8_0,q4_0,,2560,2560,4459.62,2502.01,112.57,2614.5800000000004,6757.85,1492.79,449,491.0,14661.0,14170.0,16376.0,1715.0,56.669,,100.0,192k/kv-roundtrip/q8-q4/roundtrip.json,192k/kv-roundtrip/q8-q4/resources.csv,192k/kv-roundtrip/q8-q4/roundtrip.stderr.log
